Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Jones, Ian William Nasser",SP23,ANAR 111 - Foundations of Archaeology (A),100.0%,100.0%,3.83,N/A
"Shtienberg, Gilad",SP23,ANAR 115 - Coastal Geomorphology/Environ (A),100.0%,83.3%,3.83,B (3.07)
"Braswell, Geoffrey E.",SP23,ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),100.0%,100.0%,5.17,A (4.00)
"Hrvoj Mihic, Branka",SP23,ANBI 111 - Human Evolution (A),100.0%,100.0%,2.50,B- (2.95)
"Non, Amy L",SP23,ANBI 135 - Genetic Anthro Lab Techniques (A),100.0%,100.0%,5.39,N/A
"Hrvoj Mihic, Branka",SP23,ANBI 140 - Evolution of Human Brain (A),63.6%,72.7%,6.17,C+ (2.53)
"Wilder, Linnea Lorene",SP23,ANBI 173 - How Monkeys See the World (A),83.3%,83.3%,4.83,B+ (3.51)
"Sloane, Julia Kathryn",SP23,ANSC 101 - Aging: Culture&Health/Hum Dev (A),91.7%,100.0%,3.17,A- (3.75)
"Stewart, Alexander B",SP23,ANSC 105 - Global Health and Inequality (A),95.0%,100.0%,3.45,B+ (3.67)
"Kang, Byung Chu",SP23,ANSC 117 - Transgenderisms (A),100.0%,100.0%,5.00,N/A
"Yeh, Rihan Wen Xin",SP23,ANSC 122 - Language in Society (A),75.0%,87.5%,5.50,B- (2.88)
"Brenner, Suzanne A",SP23,"ANSC 125 - Gender, Sexuality, & Society (A)",100.0%,100.0%,3.60,B+ (3.57)
"Stewart, Alexander B",SP23,ANSC 137 - Chinese Popular Religion (A),92.0%,96.0%,4.02,B+ (3.40)
"Kennemore, Amy Michelle",SP23,ANSC 142 - Anthropology of Latin America (A),100.0%,100.0%,5.50,A- (3.83)
"Stewart, Alexander B",SP23,ANSC 147 - Global Health and Environment (A),100.0%,100.0%,4.79,B+ (3.33)
"Olivas Hernandez, Olga Lid",SP23,ANSC 148 - Global Health&Cultrl Diversity (A),88.9%,77.8%,4.28,B+ (3.60)
"Jenkins, Janis A.",SP23,ANSC 156 - Mad Films (A),100.0%,100.0%,1.70,N/A
"Brenner, Suzanne A",SP23,ANSC 173 - Ethnography in Practice (A),100.0%,100.0%,3.07,N/A
"Pedersen, David",SP23,ANSC 177 - Anthrohistory: Past/Future (A),100.0%,100.0%,3.36,N/A
"Katz, Hazel",SP23,ANSC 186 - Gender and Incarceration (A),100.0%,100.0%,3.56,A- (3.91)
"Donald, Nancy Ann",SP23,ANTH 10 - Climate Justice (A),98.0%,100.0%,3.01,A- (3.75)
"Hankins, Joseph D.",SP23,ANTH 103 - Sociocultural Anthropology (A),96.9%,100.0%,5.88,B+ (3.42)
"Bialecki, Jon Anthony",SP23,ANTH 111 - Religion&Ecology/Anthropocene (A),100.0%,88.9%,4.28,B+ (3.58)
"Jones, Ian William Nasser",SP23,ANTH 112 - Regenerative Science/Ecology (A),100.0%,100.0%,3.59,B+ (3.68)
"Lewis, Leslie R",SP23,ANTH 128B - CAS: Capstone Project (A),75.0%,100.0%,2.50,N/A
"Varma, Saiba",SP23,ANTH 192 - Senior Seminar in Anthropology (A),87.5%,100.0%,1.00,N/A
"Varma, Saiba",SP23,ANTH 196C - Honors Studies in Anthropology (A),100.0%,100.0%,10.50,N/A
"Marchetto, Maria Carolina",SP23,ANTH 2 - Human Origins (A),100.0%,95.9%,3.19,B+ (3.55)
"Stroth, Luke Reyneri",SP23,ANTH 3 - Global Archaeology (A),94.2%,96.2%,2.54,B+ (3.57)
"Shtienberg, Gilad",WI23,ANAR 116 - Sea Level Change - Israel (A),100.0%,100.0%,3.61,B+ (3.62)
"Smith, Neil Gordon",WI23,ANAR 121 - Cyber-Archaeology (A),100.0%,100.0%,7.64,N/A
"Braswell, Geoffrey E.",WI23,ANAR 135 - Ancient Mediterranean Civ (A),100.0%,92.9%,3.42,A- (3.99)
"Rodriguez, Eric Andrew",WI23,ANAR 164 - Underwater Archaeology (A),100.0%,100.0%,4.07,B+ (3.63)
"Goldstein, Paul S",WI23,ANAR 180 - Archaeology Workshop (A),100.0%,75.0%,2.00,N/A
"Non, Amy L",WI23,ANBI 130 - Biology of Inequality (A),84.4%,81.8%,4.28,B+ (3.41)
"Gagneux, Pascal",WI23,ANBI 139 - Evolution of Human Disease (A),100.0%,100.0%,3.50,B+ (3.40)
"Wilder, Linnea Lorene",WI23,ANBI 143 - The Human Skeleton (A),100.0%,93.3%,3.30,B+ (3.61)
"Wilder, Linnea Lorene",WI23,ANBI 144 - Human Anatomy (A),92.9%,100.0%,4.19,B (3.27)
"Non, Amy L",WI23,ANBI 149 - Social/Behavioral Epigenetics (A),100.0%,100.0%,5.17,N/A
"Hrvoj Mihic, Branka",WI23,ANBI 159 - Biological&Cult Persptv/Intell (A),83.3%,83.3%,3.50,N/A
"Bialecki, Jon Anthony",WI23,ANSC 124 - Cultural Anthropology (A),83.3%,100.0%,3.50,B+ (3.46)
"Kennemore, Amy Michelle",WI23,ANSC 135 - Indigenous Peoples/Latin Amer. (A),100.0%,100.0%,5.27,B+ (3.63)
"Kang, Byung Chu",WI23,ANSC 146 - Global Health Persp/HIV (A),81.8%,77.3%,3.23,B+ (3.67)
"Walkover, Lillian B",WI23,ANSC 148 - Global Health&Cultrl Diversity (A),87.5%,87.5%,3.38,B (3.17)
"Sloane, Julia Kathryn",WI23,ANSC 150 - Culture and Mental Health (A),90.0%,90.0%,4.10,B+ (3.41)
"Brenner, Suzanne A",WI23,ANSC 154 - Gender and Religion (A),100.0%,100.0%,6.50,N/A
"Stewart, Alexander B",WI23,ANSC 164 - Intro to Medical Anthropology (A),100.0%,100.0%,4.03,B (3.03)
"Hankins, Joseph D.",WI23,ANSC 180 - Capitalism & Gender (A),100.0%,100.0%,4.32,A- (3.87)
"Fortier, Jana",WI23,"ANSC 184 - Food, Culture, and Society (A)",100.0%,75.0%,4.50,B (3.21)
"Jassal, Aftab",WI23,ANSC 188 - Cultures of Healing (A),100.0%,100.0%,4.72,A- (3.83)
"Jassal, Aftab",WI23,ANSC 190 - Yoga Practices (A),81.8%,90.9%,4.68,B+ (3.64)
"Fox, Patrick Keolu Ozer",WI23,ANTH 102 - Humans Are Cultural Animals (A),89.7%,94.3%,3.33,B+ (3.65)
"Stroth, Luke Reyneri",WI23,ANTH 106 - Climate and Civilization (A),100.0%,100.0%,4.19,B+ (3.30)
"Jones, Ian William Nasser",WI23,"ANTH 107 - Dsgn:Disasters,Emerg,Weather (B)",90.9%,90.9%,4.86,B+ (3.66)
"Jones, Ian William Nasser",WI23,ANTH 110 - The Climate Change Seminar (A),50.0%,100.0%,2.17,N/A
"Jones, Ian William Nasser",WI23,ANTH 112 - Regenerative Science/Ecology (A),83.3%,91.7%,6.00,B+ (3.45)
"Lewis, Leslie R",WI23,ANTH 128A - CAS: Community Engaged Resrch (A),75.0%,75.0%,2.50,N/A
"Kennemore, Amy Michelle",WI23,ANTH 21 - Race and Racisms (A),94.4%,97.2%,4.35,A- (3.71)
"Stewart, Alexander B",WI23,ANTH 23 - Debating Multiculturalism (A),93.5%,98.9%,3.59,B+ (3.58)
"Pedersen, David",WI23,ANTH 24 - Mapping Capitalism (A),90.9%,90.5%,2.50,A- (3.71)
"Semendeferi, Ekaterini",WI23,ANTH 5 - The Human Machine (A),100.0%,100.0%,7.61,N/A
"Varma, Saiba",WI23,ANTH 87 - Freshman Seminar (A),100.0%,100.0%,0.94,N/A
"Fortier, Jana",FA22,ANAR 100 - Spec Topics/Anth Archaeology (A),100.0%,100.0%,3.17,B+ (3.30)
"Smith, Neil Gordon",FA22,ANAR 104 - Intro GIS for Anth & Arch (A),100.0%,100.0%,4.00,N/A
"Jones, Ian William Nasser",FA22,ANAR 120 - Documenting Climate Change (A),100.0%,100.0%,6.50,N/A
"Goldstein, Paul S",FA22,ANAR 143 - Biblical Arch- Fact or Fiction (A),100.0%,100.0%,1.36,A- (3.85)
"Marchetto, Maria Carolina",FA22,ANBI 100 - Special Topic/Biological Anth (A),100.0%,100.0%,1.93,A- (3.99)
"Marchetto, Maria Carolina",FA22,ANBI 112 - Methods in Human Neuroscience (A),100.0%,100.0%,4.50,N/A
"Hrvoj Mihic, Branka",FA22,ANBI 112 - Methods in Human Neuroscience (B),75.0%,75.0%,4.00,N/A
"Semendeferi, Ekaterini",FA22,ANBI 136 - Human Comparative Neuroanatomy (A),85.7%,100.0%,6.50,N/A
"Gagneux, Pascal",FA22,ANBI 141 - The Evolution of Human Diet (A),98.5%,100.0%,3.76,B+ (3.66)
"Hrvoj Mihic, Branka",FA22,ANBI 145 - Bioarchaeology (A),75.0%,100.0%,4.50,B- (2.84)
"Hrvoj Mihic, Branka",FA22,ANBI 175 - Evidence for Early Ancestors (A),100.0%,100.0%,5.17,N/A
"Yeh, Rihan Wen Xin",FA22,ANSC 104 - The US-Mexico Border (A),90.0%,100.0%,5.90,C- (1.70)
"Olivas Hernandez, Olga Lid",FA22,ANSC 105 - Global Health and Inequality (A),92.3%,92.3%,3.27,B+ (3.70)
"Jassal, Aftab",FA22,ANSC 120 - Religion and Culture (A),90.5%,85.0%,3.93,A (4.00)
"Sloane, Julia Kathryn",FA22,ANSC 121 - Psychological Anthropology (A),100.0%,100.0%,3.25,B+ (3.55)
"Wilson, Brenda K",FA22,ANSC 148 - Global Health&Cultrl Diversity (A),82.6%,78.3%,4.33,B+ (3.33)
"Fortier, Jana",FA22,ANSC 169 - Culture & Envr/Resrch Sem/Prac (A),75.0%,75.0%,6.50,N/A
"Pedersen, David",FA22,ANSC 175 - Beyond Capitalism (A),85.7%,100.0%,4.21,A- (3.87)
"Varma, Saiba",FA22,ANTH 1 - Introduction to Culture (A),98.7%,100.0%,2.68,B+ (3.69)
"Stewart, Alexander B",FA22,ANTH 10 - Climate Justice (B),72.9%,85.5%,3.60,B+ (3.45)
"Goldstein, Paul S",FA22,ANTH 101 - Foundations/Social Complexity (A),89.7%,92.3%,4.35,B+ (3.68)
"Jones, Ian William Nasser",FA22,"ANTH 105 - Climate Change, Race,& Inequal (A)",93.3%,100.0%,5.03,B (3.05)
"Jones, Ian William Nasser",FA22,"ANTH 108 - IndigPpls, Develop,& ClimChng (A)",88.9%,100.0%,3.61,A- (3.75)
"Kaiser, Bronwyn Nicole",FA22,ANTH 192 - Senior Seminar in Anthropology (A),100.0%,100.0%,0.50,N/A
"Non, Amy L",FA22,ANTH 192 - Senior Seminar in Anthropology (A),100.0%,100.0%,0.50,N/A
"Varma, Saiba",FA22,ANTH 196A - Honors Studies in Anthropology (A),100.0%,100.0%,9.17,N/A
"Wilder, Linnea Lorene",FA22,ANTH 2 - Human Origins (A),86.7%,89.2%,3.81,B- (2.79)
"Kang, Byung Chu",FA22,ANTH 21 - Race and Racisms (A),99.2%,99.2%,3.44,A- (3.72)
"Kennemore, Amy Michelle",FA22,ANTH 21 - Race and Racisms (B),91.8%,100.0%,4.01,A (4.00)
"Stewart, Alexander B",FA22,ANTH 23 - Debating Multiculturalism (A),87.8%,96.7%,3.53,B (3.18)
"Yeh, Rihan Wen Xin",FA22,ANTH 4 - Words/Worlds/Intro to AN/Lang (A),78.1%,71.9%,3.25,B (3.00)
"Jordan, David K.",FA22,ANTH 87 - Freshman Seminar (A),87.5%,87.5%,1.50,N/A
"Jordan, David K.",FA22,ANTH 87 - Freshman Seminar (B),92.9%,100.0%,1.50,N/A
"Bialecki, Jon Anthony",S222,ANSC 120 - Religion and Culture (A),100.0%,100.0%,7.17,N/A
"Parish, Steven Martin",S222,ANSC 166 - Film and Culture in Asia (A),100.0%,100.0%,4.23,A (4.00)
"Jassal, Aftab",S222,ANSC 188 - Cultures of Healing (A),100.0%,100.0%,4.38,A- (3.71)
"Wilder, Linnea Lorene",S222,ANTH 102 - Humans Are Cultural Animals (A),100.0%,100.0%,4.00,A- (3.81)
"Varma, Saiba",S222,ANTH 103 - Sociocultural Anthropology (A),100.0%,100.0%,4.79,B+ (3.70)
"Bialecki, Jon Anthony",S222,ANTH 111 - Religion&Ecology/Anthropocene (A),100.0%,100.0%,5.17,N/A
"Hrvoj Mihic, Branka",S222,ANTH 2 - Human Origins (A),88.9%,94.4%,6.82,C+ (2.65)
"Stewart, Alexander B",S222,ANTH 23 - Debating Multiculturalism (A),100.0%,100.0%,6.75,B+ (3.41)
"Braswell, Geoffrey E.",S122,"ANAR 144 - Pharaohs,Mummies,Pyramds:Egypt (A)",80.0%,100.0%,5.70,N/A
"Hall, James Ernest",S122,ANBI 134 - Human Evolutionary Genetics (A),100.0%,100.0%,3.83,N/A
"Hrvoj Mihic, Branka",S122,ANBI 140 - Evolution of Human Brain (A),100.0%,100.0%,6.50,N/A
"Berman, Michael David",S122,ANSC 122 - Language in Society (A),100.0%,100.0%,3.64,B+ (3.37)
"Lewis, Leslie R",S122,ANSC 190GS - Medicine&Healing in South Asia (A),100.0%,100.0%,4.21,A- (3.99)
"Berman, Michael David",S122,ANTH 1 - Introduction to Culture (A),100.0%,100.0%,4.10,A- (3.77)
"Algaze, Guillermo",S122,ANTH 101 - Foundations/Social Complexity (A),100.0%,100.0%,4.79,B+ (3.54)
"Stewart, Alexander B",S122,"ANTH 105 - Climate Change, Race,& Inequal (A)",83.3%,100.0%,5.17,A- (3.82)
"Kennemore, Amy Michelle",S122,ANTH 23 - Debating Multiculturalism (A),100.0%,100.0%,4.90,A (4.00)
"Rivera-Collazo, Isabel C",S122,ANTH 3 - Global Archaeology (A),100.0%,100.0%,2.00,B+ (3.62)
"Smith, Neil Gordon",SP22,ANAR 104 - Intro GIS for Anth & Arch (A),100.0%,100.0%,3.83,N/A
"Smith, Neil Gordon",SP22,ANAR 143 - Biblical Arch- Fact or Fiction (A),85.7%,85.7%,4.50,B+ (3.33)
"D'Alpoim Guedes, Jade A",SP22,ANAR 146 - Feeding the World (A),95.0%,100.0%,5.80,B+ (3.38)
"Braswell, Geoffrey E.",SP22,ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),100.0%,100.0%,2.63,A- (3.97)
"Goldstein, Paul S",SP22,ANAR 156 - Archaeology of South America (A),80.0%,100.0%,4.30,A- (3.81)
"Hrvoj Mihic, Branka",SP22,ANBI 111 - Human Evolution (A),85.7%,85.7%,5.36,N/A
"Fox, Patrick Keolu Ozer",SP22,ANBI 121 - Polynesian Navigation (A),95.8%,100.0%,3.46,A- (3.87)
"Wilder, Linnea Lorene",SP22,ANBI 140 - Evolution of Human Brain (A),90.9%,90.9%,3.95,C+ (2.41)
"Wilder, Linnea Lorene",SP22,ANBI 144 - Human Anatomy (A),94.1%,82.4%,4.25,B- (2.85)
"Sloane, Julia Kathryn",SP22,ANSC 101 - Aging: Culture&Health/Hum Dev (A),100.0%,100.0%,2.14,A- (3.75)
"Yeh, Rihan Wen Xin",SP22,ANSC 104 - The US-Mexico Border (A),92.9%,100.0%,6.21,B (3.26)
"Berman, Michael David",SP22,ANSC 118 - Language and Culture (A),92.3%,100.0%,3.88,B+ (3.68)
"Stewart, Alexander B",SP22,ANSC 137 - Chinese Popular Religion (A),92.9%,92.3%,5.07,B+ (3.33)
"Postero, Nancy Grey",SP22,ANSC 140 - Human Rights II: Contemp Issue (A),100.0%,100.0%,5.17,B (3.24)
"Kurian, Amrita Achamma",SP22,ANSC 144 - Immigrant and Refugee Health (A),100.0%,100.0%,3.60,B (3.04)
"Stewart, Alexander B",SP22,ANSC 147 - Global Health and Environment (A),77.3%,81.8%,4.86,B+ (3.69)
"Walkover, Lillian B",SP22,ANSC 148 - Global Health&Cultrl Diversity (A),90.0%,90.0%,4.40,B- (2.79)
"Pedersen, David",SP22,ANSC 193 - Capitalism and Nature (A),100.0%,100.0%,3.83,N/A
"Stewart, Alexander B",SP22,ANTH 10 - Climate Justice (A),87.9%,97.0%,2.56,B+ (3.68)
"Hankins, Joseph D.",SP22,ANTH 103 - Sociocultural Anthropology (A),87.2%,89.5%,4.76,B+ (3.38)
"Jones, Ian William Nasser",SP22,"ANTH 107 - Dsgn:Disasters,Emerg,Weather (A)",100.0%,100.0%,5.30,A- (3.89)
"Jones, Ian William Nasser",SP22,ANTH 112 - Regenerative Science/Ecology (A),100.0%,100.0%,3.36,B+ (3.41)
"Lewis, Leslie R",SP22,ANTH 128B - CAS: Capstone Project (A),100.0%,100.0%,6.83,N/A
"Marchetto, Maria Carolina",SP22,ANTH 2 - Human Origins (A),90.2%,97.5%,3.94,B+ (3.42)
"Kennemore, Amy Michelle",SP22,ANTH 21 - Race and Racisms (A),88.7%,98.1%,4.17,B+ (3.64)
"Kurian, Amrita Achamma",SP22,ANTH 23 - Debating Multiculturalism (A),96.0%,96.0%,3.30,B+ (3.54)
"Levy, Thomas E",SP22,ANTH 3 - Global Archaeology (A),95.2%,95.2%,3.74,B+ (3.65)
"Shtienberg, Gilad",WI22,ANAR 116 - Sea Level Change - Israel (A),100.0%,100.0%,4.00,N/A
"Jones, Ian William Nasser",WI22,ANAR 120 - Documenting Climate Change (A),100.0%,100.0%,8.50,N/A
"Braswell, Geoffrey E.",WI22,ANAR 135 - Ancient Mediterranean Civ (A),100.0%,92.9%,6.35,A (4.00)
"Rivera-Collazo, Isabel C",WI22,ANAR 164 - Underwater Archaeology (A),100.0%,100.0%,3.44,B (3.26)
"Hrvoj Mihic, Branka",WI22,ANBI 112 - Methods/Human CompNeuroscience (A),80.0%,100.0%,3.70,N/A
"Gagneux, Pascal",WI22,ANBI 116 - Hmn Sexuality in Evolutn Pers (A),100.0%,100.0%,2.61,A- (3.80)
"Fox, Patrick Keolu Ozer",WI22,ANBI 118 - Technology on the Go (A),75.0%,75.0%,2.00,N/A
"Non, Amy L",WI22,ANBI 131 - Biology and Culture of Race (A),95.1%,95.1%,4.99,B (3.08)
"Wilder, Linnea Lorene",WI22,ANBI 133 - Evolution/Ecology: Great Ape (A),92.3%,100.0%,4.04,B+ (3.65)
"Hall, James Ernest",WI22,ANBI 134 - Human Evolutionary Genetics (A),66.7%,33.3%,3.17,N/A
"Wilder, Linnea Lorene",WI22,ANBI 143 - The Human Skeleton (A),100.0%,100.0%,3.90,B (3.29)
"Kang, Byung Chu",WI22,ANSC 101A - KoreanWaveMedia&CulturalChange (A),98.3%,94.8%,3.36,A- (3.75)
"Pedersen, David",WI22,ANSC 107 - Capitalism and Empire (A),100.0%,100.0%,3.00,N/A
"Fortier, Jana",WI22,ANSC 114 - Food Cultures of South Asia (A),100.0%,100.0%,2.83,N/A
"Sloane, Julia Kathryn",WI22,ANSC 121 - Psychological Anthropology (A),93.8%,93.3%,3.00,A- (3.73)
"Brenner, Suzanne A",WI22,"ANSC 125 - Gender, Sexuality, & Society (A)",100.0%,100.0%,3.97,B+ (3.67)
"Petterson, John C.",WI22,ANSC 134 - Politics/Environmental Change (A),100.0%,100.0%,3.30,N/A
"Kennemore, Amy Michelle",WI22,ANSC 135 - Indigenous Peoples/Latin Amer. (A),100.0%,100.0%,4.94,B+ (3.30)
"Csordas, Thomas J.",WI22,ANSC 139 - Native American Health (A),88.9%,88.9%,4.10,B+ (3.62)
"Hannah, Seth Donal",WI22,ANSC 148 - Global Health&Cultrl Diversity (A),100.0%,90.0%,6.10,B+ (3.66)
"Berman, Michael David",WI22,"ANSC 162 - Language, Identity & Community (A)",100.0%,100.0%,3.50,B+ (3.49)
"Stewart, Alexander B",WI22,ANSC 164 - Intro to Medical Anthropology (A),93.8%,93.8%,5.88,B (3.23)
"Kurian, Amrita Achamma",WI22,ANSC 165 - Contemporary South Asia (A),100.0%,100.0%,3.50,N/A
"Brenner, Suzanne A",WI22,ANSC 173 - Ethnography in Practice (A),100.0%,100.0%,3.64,N/A
"Hankins, Joseph D.",WI22,ANSC 186 - Gender and Incarceration (A),100.0%,100.0%,4.50,B- (2.91)
"Bialecki, Jon Anthony",WI22,ANTH 1 - Introduction to Culture (A),93.2%,96.6%,3.14,B+ (3.53)
"Fox, Patrick Keolu Ozer",WI22,ANTH 102 - Humans Are Cultural Animals (A),64.5%,52.0%,3.49,A- (3.76)
"Jones, Ian William Nasser",WI22,"ANTH 105 - Climate Change, Race,& Inequal (A)",94.1%,94.1%,5.50,B (3.18)
"Jones, Ian William Nasser",WI22,ANTH 106 - Climate and Civilization (A),100.0%,100.0%,5.50,B+ (3.68)
"Parish, Steven Martin",WI22,ANTH 110 - The Climate Change Seminar (A),100.0%,100.0%,6.50,N/A
"Bialecki, Jon Anthony",WI22,ANTH 111 - Religion&Ecology/Anthropocene (A),100.0%,100.0%,3.00,N/A
"Lewis, Leslie R",WI22,ANTH 128A - CAS: Community Engaged Resrch (B),100.0%,100.0%,4.10,N/A
"Non, Amy L",WI22,ANTH 196B - Honors Studies in Anthropology (A),100.0%,100.0%,5.83,N/A
"Borrero, Mario Ricardo",WI22,ANTH 21 - Race and Racisms (A),95.9%,97.9%,3.74,B+ (3.47)
"Berman, Michael David",WI22,ANTH 21 - Race and Racisms (B),100.0%,100.0%,3.03,A- (3.80)
"Kurian, Amrita Achamma",WI22,ANTH 21 - Race and Racisms (B),100.0%,100.0%,3.03,A- (3.80)
"Stewart, Alexander B",WI22,ANTH 23 - Debating Multiculturalism (A),90.9%,96.1%,3.11,B+ (3.56)
"Non, Amy L",WI22,ANTH 87 - Freshman Seminar (A),100.0%,100.0%,1.00,N/A
"Smith, Neil Gordon",FA21,ANAR 104 - Intro GIS for Anth & Arch (A),100.0%,100.0%,6.50,N/A
"Smith, Neil Gordon",FA21,ANAR 121 - Cyber-Archaeology (A),100.0%,100.0%,5.25,N/A
"Rivera-Collazo, Isabel C",FA21,ANAR 159 - Societies/CaribbeanArchipelago (A),100.0%,100.0%,5.95,B (3.25)
"Jones, Ian William Nasser",FA21,ANAR 166 - Environmental Archaeology (A),100.0%,100.0%,6.50,B (3.17)
"Marchetto, Maria Carolina",FA21,ANBI 100 - Special Topic/Biological Anth (A),100.0%,100.0%,3.83,A- (3.97)
"Semendeferi, Ekaterini",FA21,ANBI 136 - Human Comparative Neuroanatomy (A),100.0%,100.0%,5.70,N/A
"Gagneux, Pascal",FA21,ANBI 141 - The Evolution of Human Diet (A),98.4%,98.4%,3.36,A- (3.82)
"Hrvoj Mihic, Branka",FA21,ANBI 145 - Bioarchaeology (A),100.0%,100.0%,4.10,B (3.22)
"Hrvoj Mihic, Branka",FA21,ANBI 175 - Evidence for Early Ancestors (A),100.0%,100.0%,4.50,B- (2.90)
"Yeh, Rihan Wen Xin",FA21,ANSC 122 - Language in Society (A),82.1%,92.9%,3.29,B (3.07)
"Kurian, Amrita Achamma",FA21,ANSC 123 - Political Anthropology (A),88.9%,88.9%,7.39,N/A
"Bialecki, Jon Anthony",FA21,ANSC 124 - Cultural Anthropology (A),100.0%,80.0%,2.50,A- (3.78)
"Hallingstad Obrien, Dylan Jam",FA21,"ANSC 131 - Language, Law, Social Justice (A)",87.0%,100.0%,4.33,B+ (3.69)
"Varma, Saiba",FA21,ANSC 148 - Global Health&Cultrl Diversity (A),100.0%,100.0%,4.25,B+ (3.68)
"Olivas Hernandez, Olga Lid",FA21,ANSC 150 - Culture and Mental Health (A),77.8%,83.3%,4.50,B- (2.71)
"Pedersen, David",FA21,ANSC 175 - Beyond Capitalism (A),100.0%,85.7%,3.07,A- (3.84)
"Stewart, Alexander B",FA21,ANTH 10 - Climate Justice (A),92.9%,83.3%,3.93,B+ (3.67)
"Goldstein, Paul S",FA21,ANTH 101 - Foundations/Social Complexity (A),88.2%,85.3%,4.09,B+ (3.61)
"Jones, Ian William Nasser",FA21,"ANTH 108 - IndigPpls, Develop,& ClimChng (A)",100.0%,100.0%,8.94,B+ (3.65)
"Fortier, Jana",FA21,"ANTH 109 - ClimChng,CultHertage,&Vulnrabl (A)",100.0%,100.0%,4.21,A- (3.73)
"Non, Amy L",FA21,ANTH 196A - Honors Studies in Anthropology (A),100.0%,100.0%,7.50,N/A
"Wilder, Linnea Lorene",FA21,ANTH 2 - Human Origins (A),90.6%,96.4%,4.71,B- (2.78)
"Kennemore, Amy Michelle",FA21,ANTH 21 - Race and Racisms (A),83.0%,100.0%,4.89,A- (3.78)
"Kang, Byung Chu",FA21,ANTH 21 - Race and Racisms (B),97.5%,99.4%,3.67,A- (3.83)
"Stewart, Alexander B",FA21,ANTH 23 - Debating Multiculturalism (A),88.1%,96.8%,4.38,B+ (3.65)
"Berman, Michael David",FA21,ANTH 23 - Debating Multiculturalism (B),100.0%,100.0%,2.79,A- (3.87)
"Yeh, Rihan Wen Xin",FA21,ANTH 4 - Words/Worlds/Intro to AN/Lang (A),87.0%,91.3%,3.98,B (3.15)
"Jordan, David K.",FA21,ANTH 87 - Freshman Seminar (A),91.7%,91.7%,1.00,N/A
"Jordan, David K.",FA21,ANTH 87 - Freshman Seminar (B),100.0%,100.0%,2.94,N/A
"Varma, Saiba",FA21,ANTH 87 - Freshman Seminar (C),100.0%,100.0%,0.75,N/A
"Goldstein, Paul S",S221,"ANAR 117 - Archaeology Field&Lab, SoCal (A)",100.0%,100.0%,1.93,N/A
"Olivas Hernandez, Olga Lid",S221,ANSC 105 - Global Health and Inequality (A),100.0%,100.0%,4.50,N/A
"Postero, Nancy Grey",S221,ANSC 106GS - GH: Indig Med in Latin America (A),100.0%,100.0%,6.10,N/A
"Postero, Nancy Grey",S221,ANSC 135GS - Indigenous Peoples/Latin Amer. (A),100.0%,100.0%,5.70,N/A
"Wu, Hua",S221,ANSC 164 - Intro to Medical Anthropology (A),100.0%,100.0%,6.50,N/A
"Parish, Steven Martin",S221,ANSC 166 - Film and Culture in Asia (A),100.0%,96.8%,6.05,A- (3.97)
"Jassal, Aftab",S221,ANSC 188 - Cultures of Healing (A),100.0%,100.0%,5.41,A- (3.79)
"Algaze, Guillermo",S221,ANTH 101 - Foundations/Social Complexity (B),100.0%,100.0%,5.17,N/A
"Hrvoj Mihic, Branka",S221,ANTH 102 - Humans Are Cultural Animals (A),100.0%,66.7%,2.50,B (3.21)
"Stewart, Alexander B",S221,"ANTH 105 - Climate Change, Race,& Inequal (A)",87.5%,87.5%,5.50,B+ (3.38)
"Nippoldt, Lauren Jean",S221,ANTH 21 - Race and Racisms (B),100.0%,100.0%,5.75,A- (3.71)
"Villavicencio Miranda, Marianinna",S221,ANTH 23 - Debating Multiculturalism (B),100.0%,100.0%,4.50,N/A
"Sloane, Julia Kathryn",S121,ANSC 121 - Psychological Anthropology (A),75.0%,100.0%,4.00,B+ (3.68)
"Berman, Michael David",S121,ANSC 122 - Language in Society (A),100.0%,100.0%,3.05,B (3.12)
"Csordas, Thomas J.",S121,ANSC 129 - Meaning and Healing (A),100.0%,100.0%,11.17,N/A
"Jenkins, Janis A.",S121,ANSC 156 - Mad Films (A),83.3%,66.7%,4.83,B+ (3.56)
"Jassal, Aftab",S121,ANTH 1 - Introduction to Culture (A),100.0%,100.0%,4.25,N/A
"Hallingstad Obrien, Dylan Jam",S121,ANTH 103 - Sociocultural Anthropology (A),100.0%,100.0%,4.63,B+ (3.34)
"Wilder, Linnea Lorene",S121,ANTH 2 - Human Origins (B),100.0%,100.0%,4.00,N/A
"Arani, Alexia Alisabeth",S121,ANTH 21 - Race and Racisms (B),100.0%,100.0%,6.72,B+ (3.62)
"Stewart, Alexander B",S121,ANTH 23 - Debating Multiculturalism (B),100.0%,100.0%,6.50,N/A
"Howland, Matthew David",SP21,ANAR 104 - Intro GIS for Anth & Arch (A),100.0%,100.0%,3.70,N/A
"Algaze, Guillermo",SP21,ANAR 138 - The Emergence of Civilization (A),80.0%,80.0%,2.90,N/A
"Braswell, Geoffrey E.",SP21,ANAR 160 - Ancient Maya: Arch Prob/Persp (A),100.0%,100.0%,7.00,N/A
"Hrvoj Mihic, Branka",SP21,ANBI 111 - Human Evolution (A),100.0%,100.0%,4.32,C (2.23)
