Instructor,Term,Course,RcmndClass,RcmndInstr,Study Hrs/wk,Avg Grade Received
"Sinha, Amitabha",FA21,CHEM 130 - Chem Physics: Quantum Mech (A),62.7%,56.0%,9.21,C+ (2.70)
"Esko, Jeffrey D.",FA21,CHEM 142 - Intro to Glycosciences (A),82.4%,94.1%,6.85,A- (3.73)
"Godula, Kamil",FA21,CHEM 142 - Intro to Glycosciences (A),82.4%,100.0%,6.85,A- (3.73)
"Gordts, Philip",FA21,CHEM 142 - Intro to Glycosciences (A),82.4%,88.2%,6.85,A- (3.73)
"Ternansky, Robert J.",FA21,CHEM 143C - Organic Chemistry Laboratory (A),92.0%,92.0%,7.30,B+ (3.30)
"Theodorakis, Emmanuel",FA21,CHEM 152 - Synthetic Methods/Organic Chem (A),100.0%,100.0%,6.28,B+ (3.38)
"Slade, Jonathan",FA21,CHEM 171 - Environmental Chemistry I (A),93.7%,93.7%,4.47,B+ (3.32)
"Bussey, Thomas J",FA21,CHEM 4 - Chemical Thinking (A),91.3%,95.1%,5.74,B- (2.85)
"Hopkins, Patrycja Anna",FA21,CHEM 40A - Organic Chemistry I (A),82.8%,89.7%,7.08,B- (2.76)
"Bertrand, Guy",FA21,CHEM 40A - Organic Chemistry I (B),90.0%,96.3%,7.58,B- (2.95)
"Bertrand, Guy",FA21,CHEM 40A - Organic Chemistry I (C),90.8%,98.6%,7.13,B (3.02)
"Albizati, Kim F.",FA21,CHEM 40A - Organic Chemistry I (D),80.3%,87.4%,8.62,B- (2.91)
"Albizati, Kim F.",FA21,CHEM 40A - Organic Chemistry I (E),77.9%,90.9%,9.01,B- (2.79)
"Theodorakis, Emmanuel",FA21,CHEM 40B - Organic Chemistry II (A),65.4%,87.7%,7.77,B- (2.75)
"Ternansky, Robert J.",FA21,CHEM 40C - Organic Chemistry III (A),57.6%,63.6%,8.63,C+ (2.53)
"Klosterman, Jeremy K",FA21,CHEM 43A - Organic Chemistry Laboratory (A),75.6%,82.7%,8.36,B- (2.90)
"Klosterman, Jeremy K",FA21,CHEM 43A - Organic Chemistry Laboratory (B),73.4%,74.8%,9.06,B- (2.96)
"Pomeroy, Robert S.",FA21,CHEM 6A - General Chemistry I (A),69.1%,61.8%,8.36,C+ (2.52)
"Schurmeier, Kimberly",FA21,CHEM 6A - General Chemistry I (B),85.8%,92.0%,6.48,B- (2.71)
"Brydges, Stacey",FA21,CHEM 6A - General Chemistry I (C),85.4%,87.9%,6.60,B (3.22)
"Stallings, Dontarie M",FA21,CHEM 6A - General Chemistry I (D),92.2%,94.9%,6.60,B- (2.77)
"Brydges, Stacey",FA21,CHEM 6A - General Chemistry I (E),87.4%,87.4%,7.21,B (3.15)
"Schurmeier, Kimberly",FA21,CHEM 6A - General Chemistry I (F),88.0%,85.4%,6.29,B- (2.92)
"Zid, Brian M",FA21,CHEM 6A - General Chemistry I (G),87.2%,89.8%,6.90,B (3.20)
"Stallings, Dontarie M",FA21,CHEM 6A - General Chemistry I (H),89.3%,90.7%,6.41,B- (2.98)
"Bussey, Thomas J",FA21,CHEM 6A - General Chemistry I (I),93.0%,95.2%,5.64,B (3.30)
"Kim, Judy E.",FA21,CHEM 6AH - Honors General Chemistry I (A),73.8%,91.8%,8.30,B+ (3.31)
"Lam, Tin Yiu",FA21,CHEM 6B - General Chemistry II (A),78.0%,78.7%,6.63,B- (2.72)
"Lam, Tin Yiu",FA21,CHEM 6C - General Chemistry  III (A),64.1%,63.8%,7.30,C+ (2.59)
"Leigh, Brian",FA21,CHEM 7L - General Chemistry Laboratory (A),76.5%,86.6%,6.93,B (3.09)
"Leigh, Brian",FA21,CHEM 7L - General Chemistry Laboratory (B),69.8%,82.1%,7.17,B- (2.93)
"Leigh, Brian",FA21,CHEM 7L - General Chemistry Laboratory (C),74.0%,86.0%,7.32,B- (2.94)
"Bussey, Thomas J",FA21,CHEM 87 - Freshman Seminar (A),100.0%,100.0%,0.75,N/A
"Bussey, Thomas J",FA21,CHEM 96 - Introductn to Teaching Science (A),100.0%,100.0%,2.14,N/A
"Hamaoka, Brent Y",S221,CHEM 109 - Recombinant DNA Laboratory (A),93.3%,100.0%,13.97,B+ (3.53)
"Bussey, Thomas J",S221,CHEM 114A - Biochemical Structure&Function (A),100.0%,100.0%,10.58,B (3.20)
"Bussey, Thomas J",S221,CHEM 4 - Chemical Thinking (A),60.0%,60.0%,10.10,N/A
"Klosterman, Jeremy K",S221,CHEM 40A - Organic Chemistry I (A),88.1%,89.7%,10.43,B- (2.73)
"Klosterman, Jeremy K",S221,CHEM 40B - Organic Chemistry II (A),83.8%,91.9%,10.28,C+ (2.53)
"Ternansky, Robert J.",S221,CHEM 40C - Organic Chemistry III (A),71.4%,57.1%,13.36,B- (2.71)
"Hunter, Kelly Marie",S221,CHEM 6A - General Chemistry I (A),90.7%,100.0%,6.17,B (3.29)
"Schurmeier, Kimberly",S221,CHEM 6A - General Chemistry I (B),98.7%,96.1%,4.55,B (3.07)
"Lam, Tin Yiu",S221,CHEM 6B - General Chemistry II (A),88.2%,88.2%,8.97,B- (2.98)
"Stallings, Dontarie M",S221,CHEM 6C - General Chemistry  III (A),83.3%,77.8%,8.83,C (2.02)
"Schurmeier, Kimberly",S121,CHEM 11 - The Periodic Table (A),96.6%,100.0%,5.50,B+ (3.64)
"Ternansky, Robert J.",S121,CHEM 143B - Organic Chemistry Lab II (A),50.0%,41.7%,9.00,B- (2.94)
"Hopkins, Patrycja Anna",S121,CHEM 40A - Organic Chemistry I (A),92.9%,82.1%,11.21,B- (2.76)
"Weizman, Haim",S121,CHEM 40B - Organic Chemistry II (A),55.0%,90.0%,9.74,B- (2.75)
"Albizati, Kim F.",S121,CHEM 40C - Organic Chemistry III (A),83.3%,100.0%,8.82,B- (2.80)
"Weizman, Haim",S121,CHEM 43A - Organic Chemistry Laboratory (A),70.6%,82.4%,8.26,B (3.02)
"Torres Paris, Constanza Paz",S121,CHEM 6A - General Chemistry I (A),98.1%,98.1%,5.87,B+ (3.33)
"Edwards, Madison Marie",S121,CHEM 6B - General Chemistry II (A),93.2%,100.0%,6.45,B- (2.97)
"Hamaoka, Brent Y",S121,CHEM 6C - General Chemistry  III (A),48.6%,57.1%,10.56,B- (2.90)
"Leigh, Brian",S121,CHEM 7L - General Chemistry Laboratory (A),84.8%,97.0%,11.21,B (3.02)
"Leigh, Brian",S121,CHEM 7L - General Chemistry Laboratory (B),85.7%,100.0%,10.69,B (3.01)
"Li, Shaowei",SP21,CHEM 100A - Analytical Chemistry Lab (A),68.6%,71.4%,10.78,B+ (3.33)
"Pomeroy, Robert S.",SP21,CHEM 100B - Instrumental Chemistry Lab (A),71.4%,100.0%,9.75,B+ (3.33)
"Pomeroy, Robert S.",SP21,CHEM 100B - Instrumental Chemistry Lab (B),75.0%,100.0%,7.50,B+ (3.57)
"Sinha, Amitabha",SP21,CHEM 105A - Physical Chemistry Laboratory (A),48.0%,64.0%,11.70,B (3.01)
"Sinha, Amitabha",SP21,CHEM 105A - Physical Chemistry Laboratory (B),45.8%,79.2%,11.58,B (3.26)
"Jennings, Patricia A.",SP21,CHEM 108 - Protein Biochemistry Lab (A),41.4%,20.7%,9.83,B+ (3.62)
"Jennings, Patricia A.",SP21,CHEM 108 - Protein Biochemistry Lab (B),36.4%,22.7%,9.05,B+ (3.67)
"Mishanina, Tatiana V",SP21,CHEM 109 - Recombinant DNA Laboratory (A),81.0%,81.0%,10.02,A- (3.84)
"Mishanina, Tatiana V",SP21,CHEM 109 - Recombinant DNA Laboratory (B),93.8%,100.0%,9.38,A- (3.83)
"Wang, Wei",SP21,CHEM 11 - The Periodic Table (A),93.8%,91.7%,4.69,B+ (3.60)
"Komives, Elizabeth A",SP21,CHEM 114C - Biosynthesis of Macromolecules (A),82.5%,72.6%,7.50,B+ (3.66)
"Donoghue, Daniel J.",SP21,CHEM 118 - Pharmacology and Toxicology (A),89.7%,92.2%,6.53,B+ (3.50)
"Schimpf, Alina M",SP21,CHEM 123 - Advanced Inorganic Chem Lab (A),85.7%,85.7%,7.64,N/A
"Kim, Judy E.",SP21,CHEM 126B - Phys Biochem: Quantum Mech (A),76.3%,94.7%,8.72,B (3.02)
"Hoeger, Carl",SP21,CHEM 13 - Chemistry of Life (A),100.0%,88.9%,7.83,B- (2.98)
"Xiong, Wei",SP21,CHEM 132 - Chem Physics: Stat Thermo II (A),80.0%,93.3%,8.91,B (3.00)
"Xiong, Wei",SP21,CHEM 135 - Molecular Spectroscopy (A),100.0%,100.0%,7.17,N/A
"Ternansky, Robert J.",SP21,CHEM 143B - Organic Chemistry Lab II (A),69.8%,53.5%,6.45,B+ (3.35)
"Yang, Jerry",SP21,CHEM 156 - Struct&Properties/Organc Molec (A),100.0%,100.0%,6.00,N/A
"Burkart, Michael D",SP21,CHEM 157 - Bioorganic & Natural Prod Chem (A),94.4%,97.2%,6.89,B+ (3.54)
"Deshmukh, Lalit",SP21,CHEM 167 - Medicinal Chemistry (A),89.3%,90.2%,6.50,B (3.11)
"Mayer, Kathryn Jeanette",SP21,CHEM 173 - Atmospheric Chemistry (A),100.0%,100.0%,4.28,A- (3.83)
"Dickson, Andrew Gilmore",SP21,CHEM 174 - Chem Prin of Marine Systems (A),87.5%,93.8%,6.38,B (3.05)
"Gilson, Michael K.",SP21,CHEM 186 - Molecular Simulations Lab (A),100.0%,100.0%,8.00,N/A
"Albizati, Kim F.",SP21,CHEM 40A - Organic Chemistry I (A),79.0%,95.0%,7.40,B- (2.78)
"Hoeger, Carl",SP21,CHEM 40B - Organic Chemistry II (A),73.0%,70.3%,9.42,B- (2.70)
"Molinski, Tadeusz",SP21,CHEM 40B - Organic Chemistry II (B),33.3%,66.7%,5.17,N/A
"Schmidt, Valerie A",SP21,CHEM 40B - Organic Chemistry II (C),70.2%,77.4%,7.63,B+ (3.35)
"Ferguson, Fleur",SP21,CHEM 40B - Organic Chemistry II (D),58.3%,55.7%,8.91,B (3.09)
"Romero, Nathan A",SP21,CHEM 40C - Organic Chemistry III (A),74.3%,87.1%,7.83,B (3.22)
"Ternansky, Robert J.",SP21,CHEM 40C - Organic Chemistry III (B),61.7%,68.1%,8.42,B- (2.93)
"Tor, Yitzhak",SP21,CHEM 40CH - Honors Organic Chemistry III (A),93.5%,100.0%,7.26,B+ (3.48)
"Klosterman, Jeremy K",SP21,CHEM 43A - Organic Chemistry Laboratory (A),85.5%,81.4%,8.39,B (3.11)
"Klosterman, Jeremy K",SP21,CHEM 43A - Organic Chemistry Laboratory (B),84.2%,86.4%,8.25,B (3.22)
"Deshmukh, Lalit",SP21,CHEM 6A - General Chemistry I (A),90.9%,91.5%,5.38,B (3.03)
"Young, Mark",SP21,CHEM 6B - General Chemistry II (A),74.2%,75.3%,6.84,B- (2.79)
"Young, Mark",SP21,CHEM 6B - General Chemistry II (B),67.5%,72.6%,7.63,B- (2.90)
"Debelouchina, Galia T",SP21,CHEM 6C - General Chemistry  III (A),88.1%,98.5%,6.50,B+ (3.44)
